Bloco;Parcela;Faixa;Arvore;Fuste;Código;;X;Y;Familia;Nome_Cientifico;Nome_comum;CAP_2002;CAP_2005;CAP_2008;CAP_2011;CAP_2014;CAP_2017;CAP_2020;CAP_2026;HC;anoHC;HT;anoHT;Fuste;Estrato;Fitossanidade;Pos;Forma;Ano_Ingresso;info_Morta;Ano_Morta;Observacoes
1;1;1;758;1;0;FALSO;1.5;85;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;;;;;;;32.7;37.6;0;;0;;3;1;2;3;2;2020;0;;
1;1;1;808;1;0;FALSO;3.5;16.7;N.I.;N.I.;N.I.;;;;;;;;44.1;5;;0;;2;2;2;3;3;2026;0;;
1;1;1;809;1;0;FALSO;3.2;17;N.I.;N.I.;N.I.;;;;;;;;36;5;;0;;2;2;2;3;2;2026;0;;
1;1;1;810;1;0;FALSO;7.5;20;N.I.;N.I.;N.I.;;;;;;;;38.5;6;;0;;2;2;2;3;3;2026;0;;
1;1;2;19;1;0;FALSO;14.5;98.5;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;35;39;40;43.2;47.4;50.9;52.4;54.8;0;;0;;2;1;3;2;4;2002;0;;
1;1;2;20;1;0;FALSO;15;95;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;195;198.6;203;205;206;206;207.7;211;0;;0;;3;3;3;5;5;2002;0;;
1;1;2;21;1;0;FALSO;19;97;Salicaceae;Casearia decandra Jacq.;Guaçatunga-branca;38;41.3;43.5;45.5;48.7;50.4;53.5;54;0;;0;;3;2;3;4;3;2002;0;;
1;1;2;22;1;0;FALSO;15;93.5;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;36.5;37.7;38.5;40.3;44.2;47.5;50;53.5;0;;0;;1;1;3;2;4;2002;0;;
1;1;2;23;1;0;FALSO;19.5;92;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;79;80.1;80.5;80.2;;;;;;;;;2;2;1;0;0;2002;1;2014;
1;1;2;24;1;0;FALSO;11.3;92.6;Canellaceae;Cinnamodendron dinisii Schwacke;Pimenteira;36;42.4;;;;;;;;;;;2;1;3;0;0;2002;1;2008;
1;1;2;25;1;1;VERDADEIRO;14;89;Salicaceae;Casearia decandra Jacq.;Guaçatunga-branca;;;;;31.8;33.5;53.5;55;0;;0;;2;2;3;3;5;2014;0;;
1;1;2;25;3;2;VERDADEIRO;14;89;Salicaceae;Casearia decandra Jacq.;Guaçatunga-branca;;;;;;;32.5;;;;;;0;0;0;2;0;2;3;3;4
1;1;2;25;2;2;VERDADEIRO;14;89;Salicaceae;Casearia decandra Jacq.;Guaçatunga-branca;43;48.3;49;49.5;50.5;51.5;32.5;;0;;0;;2;1;3;3;4;2002;1;2026;
1;1;2;25;3;2;FALSO;14;89;Salicaceae;Casearia decandra Jacq.;Guaçatunga-branca;;;;;;;32.5;32.5;;;;;2;2;3;3;4;2020;;;
1;1;2;26;1;0;FALSO;17.8;88.7;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;43;43.2;43.4;;;;;;;;;;2;1;3;0;0;2002;1;2011;
1;1;2;27;1;0;FALSO;19.7;88.7;Lauraceae;Nectandra grandiflora Nees & Mart;Canela-amarela;66;73.2;77.8;80;86.2;91;96.5;100.3;0;;0;;2;1;3;3;5;2002;0;;
1;1;2;28;1;0;FALSO;15;82.3;Clethraceae;Clethra scabra Pers.;Carne-de-vaca;65;73.7;78;79.4;82;82;;;;;;;2;2;3;5;4;2002;1;2020;
1;1;2;29;1;0;FALSO;14;77.5;Lauraceae;Nectandra grandiflora Nees & Mart;Canela-amarela;102;106.5;108;109.9;112.7;117.9;112.4;114.6;0;;0;;2;2;3;3;3;2002;0;;
1;1;2;30;1;0;FALSO;13.8;76.2;Sapindaceae;Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.;Vacum-de-folha-graúda;54;56;56;56.4;58.4;58.8;60.5;62;0;;0;;3;2;3;2;3;2002;0;;
1;1;2;31;1;0;FALSO;19;73.2;Solanaceae;Solanum sanctaecatharinae Dunal;Cuvitinga;46.5;52.5;53.7;55.5;;;;;;;;;2;1;3;3;3;2002;1;2014;
1;1;2;32;1;0;FALSO;12.5;71.3;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;254.5;259.5;265.5;269;269;278;285;295;0;;0;;3;3;3;5;5;2002;0;;
1;1;2;33;1;0;FALSO;17.5;67.4;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;50;51;52.2;53;54.6;56.8;57.9;60.6;0;;0;;2;1;3;3;3;2002;0;;
1;1;2;34;1;0;FALSO;13;66.1;Lauraceae;Nectandra grandiflora Nees & Mart;Canela-amarela;44.5;49.8;50;51.3;53.5;53.5;53.5;54.1;0;;0;;2;1;3;2;3;2002;0;;
1;1;2;35;1;0;FALSO;12.5;64.9;Myrtaceae;Campomanesia xanthocarpa (Mart.) O.Berg;Guabiroba;53.5;58.1;59.7;62;64.8;66.7;67.4;67.5;0;;0;;3;2;3;4;4;2002;0;;
1;1;2;36;1;0;FALSO;11.8;60.4;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;57;58.3;58.7;58.8;58.8;;;;;;;;2;2;3;2;1;2002;1;2017;
1;1;2;37;1;0;FALSO;19.5;54;Aquifoliaceae;Ilex brevicuspis Reissek;Voadeira;55;56;56;56.5;56.8;57.2;57.4;58;0;;0;;2;2;3;2;2;2002;0;;
1;1;2;38;1;0;FALSO;17;54.5;Lauraceae;Nectandra megapotamica (Spreng.) Mez;Canela-imbuia;104;108.5;108.5;108.5;112;112;112;116.5;0;;0;;2;2;3;4;4;2002;0;;
1;1;2;39;1;0;FALSO;13;51.7;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;32.5;36.9;39.5;41.8;43.2;44.1;45;46.1;0;;0;;2;1;3;3;3;2002;0;;
1;1;2;621;1;0;FALSO;11;87;Lauraceae;Aiouea sellowiana (Nees & Mart.) R.Rohde;Canela-branca;;;34;34.4;35.5;36;36.7;39.6;0;;0;;2;1;3;2;2;2008;0;;
1;1;2;651;1;1;FALSO;19.7;85;Rubiaceae;Coussarea contracta (Walp.) Müll.Arg.;Cinzeiro-preto;;;;31.5;33;33.4;35.4;35.4;0;;0;;1;1;3;2;4;2011;0;;
1;1;2;652;1;0;FALSO;13;51.2;Myrtaceae;Curitiba prismatica (D.Legrand) Salywon & Landrum;Murteira;;;;32.5;34.3;36;37.5;38.4;0;;0;;3;1;3;2;3;2011;0;;
1;1;2;705;1;0;FALSO;15.8;76.2;Salicaceae;Casearia decandra Jacq.;Guaçatunga-branca;;;;;33.5;34.6;37.8;39.8;0;;0;;2;2;3;3;4;2014;0;;
1;1;2;717;1;0;FALSO;18;96;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;;;;;;31.6;32.8;33.9;0;;0;;2;2;3;2;2;2017;0;;
1;1;2;759;1;0;FALSO;18.5;91.4;N.I.;N.I.;N.I.;;;;;;;33.7;35.1;0;;0;;3;1;3;3;5;2020;0;;
1;1;2;760;2;2;VERDADEIRO;19.7;85;Rubiaceae;Coussarea contracta (Walp.) Müll.Arg.;Cinzeiro-preto;;;;;;;35.4;38.2;0;;0;;2;1;3;4;4;2020;0;;
1;1;2;760;1;1;FALSO;19.7;85;Rubiaceae;Coussarea contracta (Walp.) Müll.Arg.;Cinzeiro-preto;;;;31.5;33;33.4;35.4;;0;;0;;1;1;3;2;4;2011;1;2026;
1;1;2;811;1;0;FALSO;14.5;55.2;N.I.;N.I.;Cambuí;;;;;;;;35;2.5;;0;;2;2;2;3;3;2026;0;;
1;1;2;812;1;1;FALSO;14;55;N.I.;N.I.;Cambuí;;;;;;;;32.5;2;;0;;2;2;2;3;3;2026;0;;
1;1;2;813;1;0;FALSO;11.5;55;N.I.;N.I.;N.I.;;;;;;;;32;7;;0;;2;2;2;3;2;2026;0;;
1;1;3;40;1;0;FALSO;22.6;52.3;Aquifoliaceae;Ilex theezans Mart. ex Reissek;Caúna;35.5;39.6;42.4;43;48;46.6;48.1;49.6;0;;0;;2;1;3;2;2;2002;0;;
1;1;3;41;1;0;FALSO;22.6;52.4;Lauraceae;Ocotea puberula (Rich.) Nees;Canela-guaicá;129;135.7;137.8;141;141;149.7;154;162.9;0;;0;;2;3;3;5;3;2002;0;;
1;1;3;42;1;0;FALSO;23;53.8;Rosaceae;Prunus myrtifolia (L.) Urb.;Pessegueiro-bravo;85.5;86.8;87.2;87;;;;;;;;;2;2;3;2;2;2002;1;2014;
1;1;3;43;1;0;FALSO;29;50.6;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;39.5;40.4;40.4;40.4;40.4;;;;;;;;2;1;2;2;3;2002;1;2017;
1;1;3;44;1;1;VERDADEIRO;28.2;53;Lauraceae;Nectandra grandiflora Nees & Mart;Canela-amarela;66.5;72.6;76.5;78.6;79.7;80.2;81;81.2;0;;0;;2;2;3;2;3;2002;0;;
1;1;3;44;2;2;FALSO;28.2;53;Lauraceae;Nectandra grandiflora Nees & Mart;Canela-amarela;58.5;65.2;68;72;76.7;79.3;80.3;80.5;0;;0;;2;2;3;2;3;2002;0;;
1;1;3;45;1;0;FALSO;28.5;55;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;118.5;123.8;128.5;132.8;136.9;140.5;145.6;154;0;;0;;3;3;3;5;5;2002;0;;
1;1;3;46;1;0;FALSO;27.5;56.7;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;47;;;;;;;;;;;;3;2;3;0;0;2002;1;2005;
1;1;3;47;1;0;FALSO;20.9;57.1;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;35.5;36.2;36.2;;;;;;;;;;2;1;3;0;0;2002;1;2011;
1;1;3;48;1;0;FALSO;21;58;Celastraceae;Monteverdia aquifolium (Mart.) Biral;Espinheira-Santa-falsa;82;84.6;85;86.5;88.7;90.6;93.6;95.7;0;;0;;3;2;3;3;4;2002;0;;
1;1;3;49;1;0;FALSO;24;59.3;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;131.5;140.6;146.2;154;157.2;161;169.5;180;0;;0;;3;3;3;5;5;2002;0;;
1;1;3;50;1;0;FALSO;24.5;62.7;Lauraceae;Nectandra grandiflora Nees & Mart;Canela-amarela;83.5;91.7;94.9;95.8;96.1;97;97.6;97.5;0;;0;;2;2;2;2;2;2002;0;;
1;1;3;51;1;0;FALSO;25.5;64.5;Fabaceae;Inga virescens Benth.;Ingá;65.5;67.2;68;69.4;71;71.6;72.5;74.6;0;;0;;2;2;3;4;5;2002;0;;
1;1;3;52;1;0;FALSO;26.5;64.8;Clethraceae;Clethra scabra Pers.;Carne-de-vaca;86;90.5;93;95.8;102.3;103;105.3;107.7;0;;0;;2;3;3;3;5;2002;0;;
1;1;3;53;1;0;FALSO;26;68.4;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;54;63.2;67;70.1;74.5;77.1;80.5;80.6;0;;0;;2;2;2;3;5;2002;0;;
1;1;3;54;1;0;FALSO;27;71;Simaroubaceae;Picrasma crenata (Vell.) Engl.;Tenente-José;38;39;39.5;41.3;43.1;45.1;45.8;45.9;0;;0;;2;1;1;2;2;2002;0;;
1;1;3;55;1;0;FALSO;27.2;71;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;47.5;52.6;56;57.5;60.7;62.7;66.8;70;0;;0;;2;2;3;3;3;2002;0;;
1;1;3;56;1;0;FALSO;28;71;Aquifoliaceae;Ilex theezans Mart. ex Reissek;Caúna;109.5;;;;;;;;;;;;2;3;3;0;0;2002;1;2005;
1;1;3;57;1;0;FALSO;23.5;71.2;Lauraceae;Nectandra megapotamica (Spreng.) Mez;Canela-imbuia;59;59.9;59.9;60;;;;;;;;;2;1;2;2;1;2002;1;2014;
